编号	是什么	为什么	出处	何时消除
D31	卡组编辑 + 对局 HUD·**部分卡无卡面**（皮卡超人 / 亡灵 / 亡灵大军 等）	卡 `key → ui_spells_out 帧号` 是 G3 **逐帧目视**建立的白名单；⛔ 不许猜帧号、⛔ 不许按类型涂色	`G3-自审.md` #13；`G4-自审.md` HUD#14；审计 `Slot7Art/HandArt0/HandArt3 sprite=NULL`	补一轮逐帧目视登记帧号
D32	卡组编辑·**整屏页 vs 弹窗** + 缺 Tab（Decks/Collection）+ 缺卡组编号槽位行 + 多出标题条	卡组编辑是本项目「`MainMenu` 子面板」；本项目无多卡组管理 / 分页视图	`G3-自审.md` #3/#4/#5/#17；审计 `DeckEditPanel(Clone)` 在 `Popup` 层	功能范围变更时（主 agent 裁）
D33	卡组编辑·**卡底带显示中文卡名**（原版是 `Level 11` + `1/1500` 进度条）	本项目**无卡等级 / 卡牌进度体系**（配表无该字段）⇒ 带内只能显示卡名	`G3-自审.md` #15；`07` 图卡底带 y 693..792	引入卡等级系统时
D34	对局 HUD·左上块内容 = **冠数**（原版是 玩家名/部落名/奖杯数）；多出 `Phase`/`Status` 两行	冠数与本项目新增的状态行是既有 HUD 契约的呈现件；原版对应项**未量到**（冠数在 02/09 顶部不到镜）	`G4-自审.md` HUD#4/#15/#17；`几何量取.md` C4	主 agent 裁（是否改回玩家块）
D35	对局 HUD·计时框 **离顶 +7.9px / 宽 +7.1px**；**x2 圣水加倍徽记缺失**；暂停按钮是**纯色块**	计时框原版实测：离顶 6.1 / 宽 180.9 @1080；x2 徽记与暂停入口本项目未接；暂停按钮材质为 `CrUiStyle.ButtonBg` 纯色	`几何量取.md` B3/B4/B6；`G4-自审.md` HUD#6/#7/#9/#16	UI 像素级收口片 / 接 x2 图元时
D36	结算·**结局字号 72 无原版值**；`Rules`/`Status`/`Hint` 三行为本项目新增	A 侧**没有取到**结算整屏 ⇒ 字号/布局无原版读数；三行文案是"点了才知道"的兜底说明	`G4-自审.md` 结算#1/#7/#12；`几何量取.md` C5	取得原版结算竖版截图后
D37	音效·**圣水满用同语义最近音**（`ElixirFull/get_elixir_02.ogg`）	原版整包 2953 个文件逐词穷举无"圣水满"专用音，⛔ 不用占位静音糊	`原版资源/cr-sfx/` + `清单.md` + `.ai-tmp/test/R3-report.md` §3.3	拿到含该音的原版素材后（换 1 文件 + `Core/AudioPaths.cs` 1 常量）
D38	音效·**塔毁用通用建筑爆炸音**（`TowerDown/building_explode_01.ogg`）	整包只有国王塔专属音与通用爆炸音，无公主塔专用毁塔音	同上	拿到公主塔专用音后替换（1 文件 + 1 常量）
D39	音效·**出牌音接在「请求」上 ⇒ 服务端拒绝时也会响一声**	音效是"手感反馈"，与请求同帧发声才有原版的即时感；用 `kind==0` 要额外跟踪 `my_team`（重连/换边会漂移）	`View/BattleAudioView.cs` 类注释 + V2 实测（`card is not in hand` 同请求已有播放行）	若要零误报，改接 `kind==0` 并加 `team==my_team` 过滤（需订阅 `Battle.Started`）
D40	✅ **已消除**（AJ2 片复采：BattleEndNotify{draw=true} ⇒ 运行时播 Draw/scroll_draw_01（22:11:42.520），平局音已接）原记录：音效·**平局不播音**	S27 音效槽只含"胜负"（铁律 1：没定的不加）	`策划/策划案/皇室战争参考规格.md:285`；策划/对照表.md C82	已消除（AJ2，平局音第 7 槽已接线 —— 判据载体：运行时播放行 22:11:42.520；细则见「是什么」列）
D41	音效物理目录 = `Resources/Sound/SFX/`（非任务书 `Resources/Audio/`）	引擎 `PlaySFX` 硬编码 `Sound/SFX/{clipName}`（`Runtime/Presentation/Sound.cs:329`），放 `Audio/` 一个都播不出来	引擎源码 + 全局 skill §7 层级；`.ai-tmp/test/R3-report.md` §5	引擎提供可配前缀后，或改判据（另：BGM 未接，S27 只要音效）
D42	启动画面·Logo **水平位置**：基线 `01` Logo 中心偏左 8.6px@1080，我们居中	基线图**自身**不居中（官方宣传截图/裁切），不是我们把位置放偏	`.ai-tmp/test/G1-量取.md` B1/B2/B11/B12	拿到 Logo 严格居中的原版启动页整屏截图时
D43	启动画面·底部 **3 行文字**（`© Supercell Oy` / `本作品仅供学习研究 · 非商业用途` / `by clover-engine`，均 24px）	原版 `01` 底部整幅是美术无文字；本项目加这三行是**品牌硬规则** + 法务声明	`p1-g1-audit-step2.txt:18-20,33`；`.ai-tmp/test/V6-report.md`	**不消除**（硬规则）；如与原版"完全一致"冲突需主 agent 与用户裁决
D44	加载页·**进度条三件套**（轨道 900×64 / 填充 62% / 百分比 32px / 提示 24px）尺寸位置为本项目自定	原版 `17_加载页` **未量到**任何进度条或百分比（底部整幅美术，脚本无法分离条带）	`G1-量取.md` §C2 + §D2..D5	拿到未被裁切、带进度条的原版加载页整屏截图
D45	加载页·**底图美术与 `17` 不同**（现铺 `loading_bg` = 启动页主视觉）	素材集里 `Icons/loading_out` **只落地了 Logo 一帧**（`frame_028`），原版载入美术未落地/未登记	`client/Assets/Resources/Sprites/Ui/Icons/loading_out` 仅 `frame_028.png`；`原版资源/.../loading_out/` 有 `loading_sprite_00..33`	解出 `17` 对应美术帧 → 落地 → `ResPaths` 登记 → 改 `LoadingPanel`
D46	加载页·`Blocker` 黑色 55% 半透明遮罩（`sprite=NULL`）	原版未量到对应元素；本项目用途 = 加载中挡点击	`p1-g1-audit-step4.txt`	若证实原版加载页无遮罩 ⇒ 主 agent 决定去掉
D47	登录 / 注册 / 昵称设置：A **没有**这些界面 ⇒ 三屏比较对象退化为"A 同类部件"	A 用 Supercell ID / 平台账号；`策划/参考图` 19 张全表无对应界面	参考规格 S3/S4；`G1-量取.md` §C3	**不消除**（如实标注项，不是缺陷）
D48	远程弹道·施法者位置**降级为出牌方国王塔中心**（非开火单位自身）	`BattleEvent` 只有单点 `x_milli/y_milli`+`team`，`EvPlayCard` 的 `entity_id` 恒 0 ⇒ 载荷不携带施法者；**落点用事件自带真值，未降级**	`.ai-tmp/test/V3-report.md` 未决 2；`server/game/core/battle.go:219-221`	服务端在 `EvPlayCard` 带 `caster_entity_id` ⇒ 只改 `PlayProjectileFlight` 的 `CasterWorld(e.team)` 一处
D49	弹道贴图目录 `sprite_dir` **未落盘**（unit_cs 的 kind=3 投射物行该列为空）	客户端**拿不到**弹道素材目录名；⛔ 不许编	R2 片实测的 C 段待办（已折入本条）	客户端自带「projectile_key → 素材」映射，或服务端补投射物 `sprite_dir`（须有出处）
D50	单位动画·`die` 帧区间**未找到**	三 `.sc` 无 die/death 名（6 个动画组 shapeID 并集 = 全部 shape ⇒ 无隐藏段）；`AnimRanges[dir][AnimDie]=(0,0)` ⇒ 回落整目录、播完停末帧（= 改前行为）	`策划/单位帧段表.md` §5；`.ai-tmp/test/V1-report.md` 第 6 条	拿到 die 帧段清单后**只填 `AnimRanges`**，逻辑不动
D51	单位动画·attack 区间 = **9 视角的并集**（非按视角单段）；单条 clip 时长舍入 ≤0.8%	素材无「帧下标 → anim 档位」分段清单（`AnimRanges` 取 `单位帧段表.md` 方案②「连续主块」）；帧率按"单条 clip 时长 = `hit_speed_ms`"标定 ⇒ 攻击档窗口内只播到首条 clip	V1 片实测（已折入本表 §1.1 V1-S28-1 + D6–D9）；`策划/单位动画分组表.md`	拿到逐条 clip 分段（方案①「按 clip 播」）后只填 `AnimRanges`
D52	设置·全屏：请求 True、落盘 `STORED.fullscreen=True`，但**编辑器内 `Screen.fullScreen` 恒 False**	`Screen.fullScreenMode=FullScreenWindow` / `SetResolution(...,FullScreenWindow)` 是**直接 Unity API 调用**（绕过本工程代码），Editor Game View 恒 Windowed ⇒ 属 Editor 限制，非接线缺陷	`.ai-tmp/test/V5-report.md`；`.ai-tmp/screenshots/V5-settings.png`	真机 / Standalone 构建才可看到窗口切换（判据改判时）
D53	对局 HUD·**冠数**位置/尺寸：原版值本身未量到	8 张旧对局基线图（`02`/`09`）底部被 App Store 宣传字板覆盖 ⇒ 当时底部 HUD 全部未量到。**现状**：手牌 / 圣水条 / 下一张已由 `几何量取.md` §1.3（基线 `18/20/21/23`）补量并落地（`对照表.md` A38–A53 差值 0）；**冠数**在 02/09 + 18/19/20/21/23 **七图顶部扫过仍未见** ⇒ 本条现只覆盖「冠数」一项（与 D55 同源）	`几何量取.md` §2 C4 + §1.3；`02-bottom.png` / `09-bottom.png`（覆盖图证）；`.ai-tmp/test/Z1-report.md`	用户给含冠数控件的原版对局截图（同 D55）
D54	对局 HUD·手牌整排**右端残余 +2~+3px**（整排宽只 +1px；D131 片重扫 18 图后收窄，原记 +9px = 704 量取 vs 713 由卡宽/间距推出）	两个量取值**内部不一致**：D10 直接量到 704，而 D11（卡宽 140 + 间距 3）+ D9（左边 144）推出 144+4×140+3×3 = **713**。本片取**直接量到的卡宽/间距**为准（AB2 落地 713），⛔ 不编第三个值去凑	`几何量取.md` §1.3 D9/D10/D11（⚠️ D11「单卡宽 140 / 间距 3」的出处列写「**由 D9/D10**」，而 144+4×140+3×3 = **713 ≠ D10 的 704** ⇒ 该出处与自身输入不自洽，D131 据此推翻并**按 18 图直接量取**：卡体蓝度表决得卡宽 **136**（卡1/2/4 三张一致）、步距 **142.67** ⇒ 间距取整 **7**）；`tools/probes/cr-d131-hud-measure.py` §1（可复跑）；`.ai-tmp/test/ab2-audit-step4.txt`；`.ai-tmp/test/D131-live-evidence.txt`	**已由 D131 片复核并收窄**：⛔ 不再等"量取文件 owner 复核 D10 与 D11"（D131 自己重扫了 18 图 gaps）—— 残余 = 整排宽 565 vs 基线量取 564（+1px，0.18%），源自步距 142.67→143 的取整（×3 步）；⭐ 保留（在基线软边量取噪声 ±2px 内，且 ⛔ 不编非整数卡间距去消这 1px）
D55	对局 HUD·**冠数**（名条 / 两枚冠徽 / 数字）位置与尺寸**不可比**	原版值未量到（`几何量取.md` §2 C4：02/09 + 18/19/20/21/23 **七图顶部各扫一遍**，未见冠数控件）⇒ AB2 **保持现状**（名条落点 21/18 + 现状宽 260）	`几何量取.md` §2 C4；`.ai-tmp/test/ab2-audit-step4.txt`（`ScorePlate 260x58.9 px=(21,1843.1)-(281,1902)`）；AB2 对照表行 A16	用户给含冠数控件的原版对局截图
D56	对局 HUD·**暂停按钮**位置与尺寸**不可比**	原版值未量到（§2 C4c：`18/20/21/23` 四图未见暂停 / 齿轮按钮）⇒ 保持现状（48 高、右内缩 12、上间隔 8）	`几何量取.md` §2 C4c；`ab2-audit-step4.txt`（`PauseButton 48x48 px=(1020,1764)-(1068,1812)`）；AB2 对照表行 A17	用户给含暂停按钮的原版对局截图
D57	对局 HUD·**时钟图标摆放尺寸**为本项目自定（30×30 = 板高 × 0.30）	`Clock_middle` 原生只有 15×15，**摆放尺寸未解出**（`战斗HUD素材索引.md` §2.1 第 2 条：「坐标/缩放未解出，摆放尺寸要等坐标解出或按原版截图量」）⇒ 不编绝对值，按板高比例给	`策划/战斗HUD素材索引.md` §2.1/§3.4；`HudPanel.ClockIconW`；AB2 对照表行 A18	解出 `.sc` 放置矩阵绝对值，或按原版截图量占位比例
D58	✅ **已消除**（D131 片修复）原记录：对局 HUD·**圣水填充端 −13px**	D6 的「填充(2/10)右端 x≈292」是**读数者对原版刻度的解释**，不是协议值；本项目填充长度 = 圣水/上限（线性）⇒ 与 D6 的近似读数差 13px	`几何量取.md` §1.3 D6；`ab2-audit-step4.txt`（8.3/10 时 `ElixirFill.right=883.5`）；AB2 对照表行 A19	已消除（见「是什么」列）：D131 把填充挂进 `ElixirFillArea` 容器（左偏移 15 = 栅格左端 103 − 条左端 88、宽 937.2 = 10×93.72）⇒ 填充与刻度**共用同一栅格**，1.0 圣水 = 1 格 = 93.72px，不再与 D6 的近似读数差 13px；实机 `ElixirFill 103.0..1040.2 w=937.2`（`.ai-tmp/test/D131-live-evidence.txt`）
D59	对局 HUD·暂停 / 播放件**语义上属「回放 HUD」**	原版**战斗内**暂停按钮在 `HUD_*` 里**没有独立命名元件**；`ui.sc` 里唯一带 `pause` 的命名是 `play_pause_button`，它只被 `replay_HUD_left*` 引用 ⇒ `HudPauseButtonPlate`/`HudPauseIconPause` 是**最接近候选（推断，非原版命名）**；`HudPauseIconPlay`(170) **未使用**（HUD 这颗按钮恒定进暂停菜单）	`策划/战斗HUD素材索引.md` §1 第 5 行 + §3.5；`ResPaths.cs:563/569/575`；AB2 对照表行 C11/C13	拿到原版战斗内暂停按钮的帧号 / 截图
D60	✅ **已消除**（AQ2 片换帧；D131 片只读复核）原记录：对局 HUD·圣水徽章引 `IconElixirDrop`(99) 而非原版 `elixirBarLeft`(159)	原版条左端大图标的权威帧 = 159（`elixirBarLeft` clip 1077，94×115）。AB4 已把 159 登记为 `ResPaths.IconElixirBarLeft`，但 `HudPanel` 仍引 99（AB2 片无权改 `ResPaths` / 未及改引）	`策划/战斗HUD素材索引.md` §3.1；`ResPaths.cs:420`（`IconElixirBarLeft`）；`HudPanel` 的圣水徽章行；AB2 对照表行 C14	已消除（见「是什么」列）：AQ2 片已把 `HudPanel` 的徽章帧改引 `ResPaths.IconElixirBarLeft`（`HudPanel.cs:889` `CrUiStyle.AspectImage("ElixirBadge", ..., ResPaths.IconElixirBarLeft, ...)`），D131 片只读复核确认；实机 `ElixirBadge 33..93 w=60`（= D7 的径 60）
D61	对局 HUD·**阶段（加时 / 圣水加倍）标识未实现**	原版该项未量到（§2 C4b），且原版 `HUD_topRight_overtime`(1015) / `HUD_topRight_double_elixir`(1016) 是**纯容器（0 shape）** ⇒ 源内没有可搬的独立图元	`几何量取.md` §2 C4b；`策划/战斗HUD素材索引.md` §3.4；AB2 对照表行 A20 同族	用户给含阶段标识的原版对局截图（拿到后可定 0）
D62	对局 HUD·**手牌区字号**无原版值	`几何量取.md` §1.3 只量了几何（卡宽/卡高/间距/距底），**没有量字号**	`几何量取.md` §1.3；AB2 报告 §5 第 ⑤ 项	在 18/21 图上量卡名 / 费用字号
D63	对局 HUD·新帧（155 / 157 / 158 / 200 / 193 / 163 等）的**九宫格切边未解出**	索引只给整幅 bbox，未给九宫格方位；AB2 对 1 像素宽的 155（1×74）/ 157（59×1）用 `BorderNone`（整幅拉伸）—— 这是**在原版就拿不到切边时的可行解**，不是原版切边	`策划/战斗HUD素材索引.md` §2.1 第 2 条；AB2 报告 §2 第 1 行	解出 `.sc` 放置矩阵 / 切边定义后按原版切
D64	对局 HUD·**倒计时数字没有图元可搬**（原版是文本域）	原版 `HUD_topRight` → `timeLeft`(1007) / `print_endTimer`(1068) 的 `TID_BATTLE_ENDS_IN` + `TID_10..TID_1` **全是文本域（无 shape）** ⇒ 数字必须靠文本 + 原版字体；字体本身已登记 D8（不是原版位图字体）	`策划/战斗HUD素材索引.md` §3.4；`.ai-tmp/test/AA2-report.md`	拿到原版字体资源后（同 D8）；在此之前数字用引擎字体
D65	对局 HUD·顶中「4」紫徽**未做**	原版该件在 `ResPaths` 里**没有任何键**（`战斗HUD素材索引.md` §3.4 只给出 193 / 177 / 042 三个帧）⇒ 没有出处就不登记键	`几何量取.md` §1.3 D17；AB2 对照表行 A20	解出该件帧号（须有 `.sc` 显式出处）
D66	⚠️ **部分消除**（D131 片：`ElixirBarTick`(160) 已接进 `HudPanel` —— `BuildElixir()` 建 9 条刻度 = **10 格**）原记录：对局 HUD·**圣水刻度 / 需求条素材已登记键但未绘制**	`ElixirBarTick`(160) / `ElixirRequirementTrack`(161) / `ElixirRequirementEnd`(162) 已落地（AA2）并登记键（AB4），但 `HudPanel` 这一版没有画它们（AB2 片无这些键可用）	`ResPaths.cs:347/355/363`；`策划/战斗HUD素材索引.md` §3.1；AB2 对照表行 C15/C16	**已部分消除（见「是什么」列）**；剩余 = `ElixirRequirementTrack`(161) / `ElixirRequirementEnd`(162) 两条「卡牌所需圣水」条**仍未接**（本片边界只到刻度；用户本轮判词是「圣水条没格子 ⇒ 一个圣水不是一个格子吗」，只判格）。⛔ 161/162 的摆放几何在索引 §2.1 第 2 条下同样「未解出」，按下一次 HUD 片按基线量取再接
D67	UI 图元·`PanelPaper*` 5 键（806 / 807 / 808 / 811 / 812）的 **9-slice 方位无法判定**	这 5 个 shape**不被任何 `0c` 动画引用** ⇒ 原版没给它们名字；`.sc` 的 `0c` 三元组语义未解出 ⇒ 方位无权威依据。实际影响 = 0（`CrUiStyle.ContentPanel` 只引 806，**未引** 807/808/811/812）	`策划/原版UI图元更正表.md` 第 1~5 行 + §1.1；`.ai-tmp/test/Y2-允许差异.md` B1~B5；`ResPaths.cs:196-209`	解出 9-slice 几何或拿到原版布局数据
